Commodity_ID,Commodity_Name,Component_Type,Commodity_Group,Base_Unit,Currency,Source_Type,Key_Drivers,Risk_Level,Volatility_Class,Hedging_Eligible,Notes
COM-001,Active Chemicals,Active Chemicals,Industrial Chemicals,lb,USD,Modeled Index,"Feedstocks, regulatory constraints, plant outages",High,High,Y,
COM-002,Co-manufacturing,Co-manufacturing,Conversion,labor hour,USD,Modeled Index,"Capacity, utilization, contract rates",Low,Stable,N,
COM-003,Fragrance,Fragrance,Petrochemical,lb,USD,Modeled Index,"Petro feedstocks, specialty chemicals, capacity",Low,Stable,N,
COM-004,Freight,Freight,Logistics,shipment,USD,Modeled Index,"Diesel, capacity, route congestion",High,High,Y,
COM-005,Ingredients,Ingredients,Agri & Inputs,lb,USD,Modeled Index,"Crop yields, dairy/grain prices, seasonality",Medium,Moderate,N,
COM-006,Labor,Labor,Conversion,labor hour,USD,Modeled Index,"Wage inflation, turnover, local market tightness",Low,Stable,N,
COM-007,Overhead,Overhead,Overhead,unit,USD,Modeled Index,"Fixed cost allocation, depreciation, indirects",Low,Stable,N,
COM-008,Packaging,Packaging,Petrochemical,lb,USD,Modeled Index,"Resin, paperboard, aluminum, converting capacity",Medium,Moderate,N,
COM-009,Pulp,Pulp,Fiber,lb,USD,Modeled Index,"Timber supply, mill capacity, energy costs",High,High,Y,
COM-010,Quality Testing,Quality Testing,Quality & Regulatory,labor hour,USD,Modeled Index,"Lab capacity, reagents, compliance requirements",Low,Stable,N,
COM-011,Raw Materials,Raw Materials,Agri & Inputs,lb,USD,Modeled Index,"Agricultural inputs, mining, supply constraints",Medium,Moderate,N,
COM-012,Resin,Resin,Petrochemical,lb,USD,Modeled Index,"Crude oil, natural gas, refinery outages",High,High,Y,
COM-013,Utilities,Utilities,Overhead,kWh,USD,Modeled Index,"Electricity/gas prices, regional mix",Medium,Moderate,N,
COM-014,Warehousing,Warehousing,Logistics,shipment,USD,Modeled Index,"Space rates, labor, utilization",Low,Stable,N,
